table,column,metric,status,baseline_mean,current_value,absolute_deviation,percentage_deviation,z_score
raw.adult_income,__table__,record_count,NEW_METRIC,,29147.0,,,
raw.adult_income,age,null_count,OK,0.0,0.0,0.0,,0.0
raw.adult_income,age,null_rate,OK,0.0,0.0,0.0,,0.0
raw.adult_income,capital_gain,null_count,OK,0.0,0.0,0.0,,0.0
raw.adult_income,capital_gain,null_rate,OK,0.0,0.0,0.0,,0.0
raw.adult_income,capital_loss,null_count,OK,0.0,0.0,0.0,,0.0
raw.adult_income,capital_loss,null_rate,OK,0.0,0.0,0.0,,0.0
raw.adult_income,education,null_count,OK,0.0,0.0,0.0,,0.0
raw.adult_income,education,null_rate,OK,0.0,0.0,0.0,,0.0
raw.adult_income,education_num,null_count,OK,0.0,0.0,0.0,,0.0
raw.adult_income,education_num,null_rate,OK,0.0,0.0,0.0,,0.0
raw.adult_income,fnlwgt,null_count,OK,0.0,0.0,0.0,,0.0
raw.adult_income,fnlwgt,null_rate,OK,0.0,0.0,0.0,,0.0
raw.adult_income,hours_per_week,null_count,OK,0.0,0.0,0.0,,0.0
raw.adult_income,hours_per_week,null_rate,OK,0.0,0.0,0.0,,0.0
raw.adult_income,income,null_count,OK,0.0,0.0,0.0,,0.0
raw.adult_income,income,null_rate,OK,0.0,0.0,0.0,,0.0
raw.adult_income,marital_status,null_count,OK,0.0,0.0,0.0,,0.0
raw.adult_income,marital_status,null_rate,OK,0.0,0.0,0.0,,0.0
raw.adult_income,native_country,null_count,OK,0.0,0.0,0.0,,0.0
raw.adult_income,native_country,null_rate,OK,0.0,0.0,0.0,,0.0
raw.adult_income,occupation,null_count,OK,0.0,0.0,0.0,,0.0
raw.adult_income,occupation,null_rate,OK,0.0,0.0,0.0,,0.0
raw.adult_income,race,null_count,OK,0.0,0.0,0.0,,0.0
raw.adult_income,race,null_rate,OK,0.0,0.0,0.0,,0.0
raw.adult_income,relationship,null_count,OK,0.0,0.0,0.0,,0.0
raw.adult_income,relationship,null_rate,OK,0.0,0.0,0.0,,0.0
raw.adult_income,sex,null_count,OK,0.0,0.0,0.0,,0.0
raw.adult_income,sex,null_rate,OK,0.0,0.0,0.0,,0.0
raw.adult_income,workclass,null_count,OK,0.0,0.0,0.0,,0.0
raw.adult_income,workclass,null_rate,OK,0.0,0.0,0.0,,0.0
